column,dtype,n,n_missing,pct_missing,n_unique,is_feature_candidate,is_global
gld_volume_pct_21,float64,9283,1804,0.194333728320586,5333,True,True
gld_adj_close_pct_21,float64,9283,1804,0.194333728320586,5326,True,True
gld_low_roll_std63,float64,9283,1797,0.19357966174727997,7477,True,True
gld_open_dist_min63,float64,9283,1797,0.19357966174727997,4887,True,True
gld_open_dist_max63,float64,9283,1797,0.19357966174727997,4535,True,True
gld_close_dist_min63,float64,9283,1797,0.19357966174727997,4893,True,True
gld_close_dist_max63,float64,9283,1797,0.19357966174727997,4557,True,True
gld_close_roll_std63,float64,9283,1797,0.19357966174727997,7480,True,True
gld_close_roll_mean63,float64,9283,1797,0.19357966174727997,7475,True,True
gld_adj_close_roll_std63,float64,9283,1797,0.19357966174727997,7480,True,True
gld_adj_close_roll_mean63,float64,9283,1797,0.19357966174727997,7475,True,True
gld_adj_close_dist_min63,float64,9283,1797,0.19357966174727997,4893,True,True
gld_adj_close_dist_max63,float64,9283,1797,0.19357966174727997,4557,True,True
