fecha,umap_abs_1,umap_abs_2,cluster_abs,umap_chg_1,umap_chg_2,cluster_chg
2000-08-05,-7.234629,3.7450948,5,11.225596,-0.3046493,3
2000-08-06,-7.0108256,3.1859777,5,11.218014,-0.3130652,3
2000-08-07,-7.0105457,3.1895802,5,12.553078,3.6040256,3
2000-08-08,-7.1895843,3.9180315,5,11.217054,-0.33008936,3
2000-08-09,-7.172945,3.945879,5,11.215707,-0.3532576,3
2000-08-10,-7.093248,3.9990776,5,7.267254,5.3148146,3
2000-08-11,-7.1161203,3.9789474,5,4.0049386,5.7375426,6
2000-08-12,-7.215228,3.8217022,5,3.9960327,5.7276764,6
2000-08-13,-7.0420914,3.165783,5,4.019853,5.7602086,6
2000-08-14,-7.1445227,3.9660654,5,4.013267,5.7505407,6
2000-08-15,-7.070318,4.0082245,5,4.0190597,5.76037,6
2000-08-16,-7.076827,4.0133305,5,4.016688,5.75803,6
2000-08-17,-7.0039253,4.0324173,5,4.011757,5.7499914,6
2000-08-18,-6.9691505,4.0455923,5,11.41741,-0.4630363,3
2000-08-19,-7.1536584,3.8429153,5,11.398817,-0.48055422,3
2000-08-20,-6.968602,3.220764,5,11.396256,-0.48513573,3
2000-08-21,-6.941686,3.276452,5,12.517939,3.6696236,3
2000-08-22,-7.050364,4.0140686,5,8.660451,6.5758123,3
2000-08-23,-6.8929663,4.0896287,5,8.629767,6.6061783,3
2000-08-24,-6.9028034,4.0724235,5,8.645818,6.5000257,3
2000-08-25,-6.7798777,4.1324863,5,8.099736,6.0944033,3
2000-08-26,-6.8582325,4.0150533,5,8.085823,6.1154923,3
2000-08-27,-6.9129133,3.2667446,5,8.104349,6.086356,3
2000-08-28,-6.81736,4.1029696,5,6.9150486,5.2830997,3
2000-08-29,-6.768458,4.13771,5,8.09307,6.1049266,3
2000-08-30,-6.7891564,4.1497617,5,8.073793,6.1397285,3
2000-08-31,-6.792188,4.146803,5,8.0711565,6.1307225,3
2000-09-01,-6.7402,4.1525164,5,4.2634377,6.052379,3
2000-09-02,-6.763124,4.155093,5,4.2624755,6.051339,3
2000-09-03,-6.8694596,3.3296888,5,4.2636576,6.0544806,3
2000-09-04,-6.7489343,4.15571,5,4.265004,6.054348,3
2000-09-05,-6.748861,4.152355,5,4.264867,6.0538273,3
2000-09-06,-6.743323,4.1538534,5,4.2687616,6.05572,3
2000-09-07,-6.8040648,4.1698437,5,4.264821,6.0546474,3
2000-09-08,-6.7795296,4.1387515,5,4.264832,6.0550184,3
2000-09-09,-6.7498503,4.1338816,5,4.265627,6.058567,3
2000-09-10,-6.8775463,3.3392718,5,4.2642207,6.055866,3
2000-09-11,-6.749084,4.1782775,5,7.122682,5.381047,3
2000-09-12,-6.7796893,4.137044,5,4.2563424,6.059588,3
2000-09-13,-6.6826,4.108388,5,2.6181204,7.554955,0
2000-09-14,-6.677842,4.127798,5,2.605974,7.5661116,0
2000-09-15,-6.637545,4.1431317,5,2.6063364,7.5631237,0
2000-09-16,-6.678356,4.04667,5,2.6054397,7.5666103,0
2000-09-17,-6.8417497,3.3331392,5,2.6040087,7.5696154,0
2000-09-18,-6.71345,4.135088,5,2.6061447,7.5654,0
2000-09-19,-6.59544,4.1354966,5,2.604668,7.5689564,0
2000-09-20,-6.647145,4.144236,5,2.60434,7.569427,0
2000-09-21,-6.6317754,4.1214046,5,2.6006145,7.5829115,0
2000-09-22,-6.5447006,4.125446,5,9.96601,2.506133,3
2000-09-23,-6.5971737,4.0083103,5,9.973493,2.522905,3
2000-09-24,-6.840195,3.3146667,5,9.975029,2.509162,3
2000-09-25,-6.580991,4.0907245,5,10.001594,2.5158057,3
2000-09-26,-6.581989,4.0906043,5,10.007937,2.5172648,3
2000-09-27,-6.549504,4.085101,5,10.017406,2.5106616,3
2000-09-28,-6.5499034,4.0811224,5,10.052984,2.5672524,3
2000-09-29,-6.5431323,4.110362,5,10.655995,3.6086476,3
2000-09-30,-6.6461544,3.9370408,5,10.656556,3.5714953,3
2000-10-01,-6.807643,3.3698626,5,9.268274,-0.44181585,3
2000-10-02,-6.5218267,4.053842,5,9.26819,-0.4420675,3
2000-10-03,-6.4734297,4.1020226,5,9.27465,-0.41819784,3
2000-10-04,-6.4615393,4.054094,5,9.283212,-0.43318272,3
2000-10-05,-6.468245,4.09666,5,9.273524,-0.41258198,3
2000-10-06,-6.4555044,4.101689,5,9.152341,-1.1702788,3
2000-10-07,-6.632182,3.975131,5,9.161037,-1.1609955,3
2000-10-08,-6.8051157,3.355051,5,9.162753,-1.1582264,3
2000-10-09,-6.478226,4.0858445,5,9.159164,-1.1592972,3
2000-10-10,-6.4524035,4.1197977,5,9.16173,-1.1653643,3
2000-10-11,-6.434481,4.093254,5,9.153852,-1.1551003,3
2000-10-12,-6.464679,4.1344485,5,6.750975,11.863588,0
2000-10-13,-6.465798,4.105754,5,6.7640843,11.864037,0
2000-10-14,-6.6451573,3.9576812,5,6.766493,11.860984,0
2000-10-15,-6.8015785,3.35337,5,6.741637,11.888291,0
2000-10-16,-6.8531814,3.3120775,5,12.502132,3.3096454,3
2000-10-17,-6.47744,4.0544944,5,6.7508397,11.872203,0
2000-10-18,-6.3966556,4.1231966,5,6.757085,11.85752,0
2000-10-19,-6.400079,4.1366186,5,6.760211,11.854245,0
2000-10-20,-6.408382,4.1182017,5,6.747703,11.866772,0
2000-10-21,-6.544581,4.0130525,5,6.7543454,11.866439,0
2000-10-22,-6.817834,3.3593917,5,9.298553,6.251938,3
2000-10-23,-6.458633,4.082957,5,9.297388,6.184172,3
2000-10-24,-6.463999,4.139423,5,9.294583,6.1950397,3
2000-10-25,-6.4543867,4.097335,5,9.323336,6.2244096,3
2000-10-26,-6.4025874,4.153061,5,9.2676735,6.3272157,3
2000-10-27,-6.4416995,4.115937,5,9.27584,6.234374,3
2000-10-28,-6.5889916,3.9841409,5,9.250121,6.203572,3
2000-10-29,-6.807379,3.3396935,5,9.29793,6.2525716,3
2000-10-30,-6.437211,4.108531,5,9.305352,6.153054,3
2000-10-31,-6.476399,4.099365,5,10.100021,5.4243393,3
2000-11-01,-6.402107,4.1438465,5,10.802729,-0.24847277,3
2000-11-02,-6.4301205,4.1626377,5,10.8499975,-0.1800888,3
2000-11-03,-6.376761,4.105269,5,10.850643,-0.17790826,3
2000-11-04,-6.515645,3.9822104,5,10.840063,-0.18381745,3
2000-11-05,-6.7911253,3.3655741,5,10.838513,-0.18442541,3
2000-11-06,-6.790131,3.381344,5,10.798741,-0.21607988,3
2000-11-07,-6.3398166,4.1681056,5,10.78456,-0.2308591,3
2000-11-08,-6.426432,4.172774,5,10.790174,-0.2387703,3
2000-11-09,-6.367044,4.1516995,5,10.791645,-0.23761593,3
2000-11-10,-6.363108,4.156094,5,3.967018,5.6392198,6
2000-11-11,-6.4801383,4.01638,5,3.9723442,5.6325135,6
2000-11-12,-6.800927,3.3753533,5,3.957323,5.6305733,6
2000-11-13,-6.794829,3.3641787,5,12.340799,3.632116,3
2000-11-14,-6.3672767,4.1548667,5,3.9673412,5.6361647,6
2000-11-15,-6.354532,4.1828566,5,3.9596543,5.633265,6
2000-11-16,-6.3473287,4.1598234,5,3.9720364,5.626539,6
2000-11-17,-6.3502836,4.1740036,5,4.071828,5.5794377,6
2000-11-18,-6.4606566,4.086945,5,4.0680194,5.581136,6
2000-11-19,-6.7887263,3.3716307,5,4.070337,5.580772,6
2000-11-20,-6.345218,4.18844,5,4.0745273,5.578634,6
2000-11-21,-6.3547754,4.169923,5,4.0779667,5.5712624,6
2000-11-22,-6.345789,4.1740804,5,8.63375,5.94569,3
2000-11-23,-6.336516,4.1748457,5,8.5616,5.9306026,3
2000-11-24,-6.335232,4.180988,5,8.59945,5.9440575,3
2000-11-25,-6.446746,4.0762386,5,8.603444,5.9253545,3
2000-11-26,-6.7760158,3.412232,5,8.591783,5.911317,3
2000-11-27,-6.352023,4.174049,5,6.956677,5.1927977,3
2000-11-28,-6.330867,4.180884,5,8.658235,5.712296,3
2000-11-29,-6.3086123,4.192409,5,8.696277,5.5646043,3
2000-11-30,-6.3490596,4.1496735,5,8.800117,5.1725917,3
2000-12-01,-6.286553,4.1193657,5,2.4053051,9.446873,0
2000-12-02,-6.4139094,4.057864,5,2.41018,9.43779,0
2000-12-03,-6.788822,3.3821414,5,2.4069815,9.435315,0
2000-12-04,-6.3578787,4.093307,5,6.99309,5.016756,3
2000-12-05,-6.2546716,4.0483327,5,2.1742568,9.458,0
